집계일자,집계시,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20210406,04,0,1,44,1,3,0,0,0,0,1,4,
20210406,04,0,1,08,0,58,3,7,15,14,0,97,
20210406,04,0,1,08,1,5,2,0,0,0,0,7,
20210406,04,0,1,26,1,37,0,2,0,1,5,45,
20210406,04,0,1,43,1,7,0,0,1,1,0,9,
20210406,04,0,1,01,0,18,3,7,26,5,0,59,
20210406,04,0,1,34,0,23,3,0,12,3,0,41,
20210406,04,0,1,11,0,71,6,8,16,6,4,111,
20210406,04,0,1,18,0,40,6,19,44,18,2,129,
20210406,04,0,1,28,0,63,5,4,7,3,2,84,
20210406,04,0,1,37,0,17,1,2,16,4,1,41,
20210406,04,0,1,46,0,0,1,0,1,1,1,4,
20210406,04,0,2,00,0,12211,2325,1774,2629,4965,527,24431,
20210406,04,0,2,00,1,4565,532,254,366,788,245,6750,
20210406,04,0,2,24,1,7,0,0,0,0,0,7,
20210406,04,0,2,10,0,541,51,38,72,89,37,828,
20210406,04,0,2,10,1,33,3,0,1,15,4,56,
20210406,04,0,2,44,0,357,58,29,55,165,24,688,
20210406,04,0,2,44,1,9,0,0,0,0,0,9,
20210406,04,0,2,27,1,131,2,2,0,3,10,148,
20210406,04,0,2,08,0,286,25,17,22,134,16,500,
20210406,04,0,2,08,1,2,0,0,0,0,0,2,
20210406,04,0,2,26,1,72,3,1,0,0,9,85,
20210406,04,0,2,43,1,34,1,1,1,4,1,42,
20210406,04,0,2,01,0,787,144,144,319,434,12,1840,
20210406,04,0,2,34,0,288,33,32,43,93,11,500,
20210406,04,0,2,11,0,583,97,70,50,82,29,911,
20210406,04,0,2,18,0,546,101,114,134,412,32,1339,
20210406,04,0,2,28,0,392,46,24,22,31,27,542,
20210406,04,0,2,37,0,60,11,2,26,135,6,240,
20210406,04,0,2,46,0,10,4,1,7,19,0,41,
20210406,04,1,1,00,0,1359,145,146,698,239,123,2710,
20210406,04,1,1,00,1,450,32,51,120,52,54,759,
20210406,04,1,1,24,1,3,0,2,0,0,0,5,
20210406,04,1,1,10,0,32,3,2,6,1,9,53,
20210406,04,1,1,10,1,1,0,1,1,0,0,3,
20210406,04,1,1,44,0,38,4,7,9,7,3,68,
20210406,04,1,1,44,1,1,0,0,0,0,0,1,
20210406,04,1,1,08,0,30,1,6,12,7,5,61,
20210406,04,1,1,08,1,1,0,0,0,0,0,1,
20210406,04,1,1,26,1,20,1,0,0,0,1,22,
20210406,04,1,1,43,1,40,6,2,5,3,6,62,
20210406,04,1,1,01,0,10,1,2,12,7,1,33,
20210406,04,1,1,34,0,12,2,0,5,3,2,24,
20210406,04,1,1,11,0,51,4,6,7,9,4,81,
20210406,04,1,1,18,0,18,8,18,33,18,6,101,
20210406,04,1,1,28,0,51,3,5,8,4,1,72,
20210406,04,1,1,37,0,11,1,2,6,3,5,28,
20210406,04,1,1,46,0,3,0,0,1,1,0,5,
20210406,04,1,2,00,0,7630,1936,1220,1933,3118,353,16190,
20210406,04,1,2,00,1,2882,403,155,393,711,149,4693,
20210406,04,1,2,10,0,370,49,30,43,58,31,581,
20210406,04,1,2,10,1,26,4,2,2,3,2,39,
20210406,04,1,2,44,0,257,55,26,42,128,20,528,
20210406,04,1,2,44,1,18,0,1,0,2,1,22,
20210406,04,1,2,27,1,101,1,2,0,9,9,122,
20210406,04,1,2,08,0,182,23,25,24,121,7,382,
20210406,04,1,2,08,1,10,1,0,0,0,0,11,
20210406,04,1,2,26,1,38,2,0,0,1,8,49,
20210406,04,1,2,43,1,294,43,15,28,52,16,448,
20210406,04,1,2,01,0,740,114,140,307,447,10,1758,
20210406,04,1,2,34,0,204,27,32,29,88,6,386,
20210406,04,1,2,11,0,406,55,52,45,61,26,645,
20210406,04,1,2,18,0,387,83,97,134,378,24,1103,
20210406,04,1,2,28,0,271,38,20,31,22,18,400,
20210406,04,1,2,37,0,55,10,2,19,43,3,132,
20210406,04,1,2,46,0,13,7,0,8,21,0,49,
20210406,05,0,1,00,0,5792,424,1060,1304,518,93,9191,
20210406,05,0,1,00,1,1840,104,242,228,170,229,2813,
20210406,05,0,1,10,0,183,8,22,20,6,2,241,
20210406,05,0,1,10,1,12,4,9,5,0,4,34,
20210406,05,0,1,44,0,161,15,18,32,9,21,256,
20210406,05,0,1,44,1,5,0,0,0,0,0,5,
20210406,05,0,1,08,0,181,7,19,25,17,4,253,
20210406,05,0,1,08,1,8,0,1,0,4,1,14,
